id,name,price,newPrice,onSale,photoUrl,description,categories
1,"Кофе Арабика Эфиопия, зерно, 250 г",550,,false,"/img/coffee1.jpg","Отборные эфиопские зерна Арабики с яркими фруктовыми нотами и мягкой кислотностью. Отличный выбор для настоящих ценителей насыщенного вкуса.","Зерновой кофе,Арабика"
2,"Кофе Колумбия Супремо, молотый, 250 г",520,480,true,"/img/coffee2.jpg","Классический молотый кофе из Колумбии с насыщенным вкусом и тонкими шоколадно-ореховыми оттенками. Идеален для домашнего и офисного употребления.","Молотый кофе,Арабика"
3,"Кофе Бразилия Сантос, зерно, 500 г",890,830,true,"/img/coffee3.jpg","Премиальные зерна бразильской Арабики с мягкой горчинкой и нежным шоколадным послевкусием. Объем 500 г — для тех, кто любит запастись вкусом.","Зерновой кофе,Арабика"
4,"Кофе Латте микс, растворимый, 200 г",430,,false,"/img/coffee4.jpg","Удобный растворимый микс с кремовой текстурой и нежным молочным вкусом. Быстрый способ насладиться латте без лишних хлопот.","Растворимый кофе,Смеси"
5,"Кофе Эспрессо Итальянский, зерно, 1 кг",1600,,false,"/img/coffee5.jpg","Классический итальянский эспрессо в зернах с насыщенным телом и бархатистым послевкусием. Идеален для любителей крепкого кофе и бодрящего утра.","Зерновой кофе,Эспрессо"
6,"Кофе Мокка Арома, молотый, 250 г",480,430,true,"/img/coffee6.jpg","Молотый кофе с выразительным ароматом шоколада и специй. Подходит тем, кто любит насыщенный вкус с тонкой сладкой ноткой.","Молотый кофе,С ароматом"
7,"Кофе Кения АА, зерно, 250 г",620,,false,"/img/coffee7.jpg","Премиальные зерна из Кении с яркой кислотностью и фруктовыми оттенками. Каждый глоток — насыщенный вкус и свежесть.","Зерновой кофе,Арабика"
8,"Чай черный Ассам, листовой, 100 г",300,,false,"/img/tea1.jpg","Классический крепкий черный чай из Ассама с насыщенным вкусом и терпкими нотами. Отлично бодрит и согревает в любой момент.","Черный чай,Листовой"
9,"Чай зеленый Сенча, листовой, 100 г",320,,false,"/img/tea2.jpg","Японский зеленый чай Сенча с нежным травяным вкусом и легкой сладостью. Идеален для поддержания бодрости и хорошего настроения.","Зеленый чай,Листовой"
10,"Чай матча премиум, порошковый, 30 г",950,870,true,"/img/tea3.jpg","Высококачественный порошковый японский чай матча с богатым вкусом и мощными антиоксидантами для здоровья и энергии.","Матча,Японский чай"
11,"Чай пуэр Шу, прессованный, 100 г",680,,false,"/img/tea4.jpg","Прессованный китайский пуэр с глубоким, насыщенным вкусом и землистыми оттенками. Помогает расслабиться и улучшить пищеварение.","Пуэр,Китайский чай"
12,"Чай травяной мята-ромашка, 50 г",250,,false,"/img/tea5.jpg","Ароматный травяной сбор с мятой и ромашкой, без кофеина. Идеален для расслабления и поддержания здоровья в любое время дня.","Травяной чай,Без кофеина"
13,"Чай улун молочный, 100 г",560,,false,"/img/tea6.jpg","Китайский улун с нежным молочным ароматом и цветочными нотками. Отличный выбор для ценителей утонченного вкуса.","Улун,Китайский чай"
14,"Чай каркаде, лепестки гибискуса, 100 г",270,230,true,"/img/tea7.jpg","Освежающий чай из лепестков гибискуса с ярким рубиновым цветом и легкой кислинкой. Полезен для иммунитета и общего тонуса.","Каркаде,Травяной чай"
15,"Френч-пресс 600 мл",1100,,false,"/img/other1.jpg","Стильный и удобный френч-пресс объёмом 600 мл для свежезаваренного кофе с насыщенным ароматом и бархатистым вкусом.",""
16,"Керамическая турка 500 мл",950,,false,"/img/other2.jpg","Классическая керамическая турка для приготовления кофе по-турецки с равномерным нагревом и сохранением аромата.",""
17,"Электрический капучинатор",1300,1190,true,"/img/other3.jpg","Удобный электрический капучинатор быстро и качественно взбивает молоко для идеального капучино и латте в домашних условиях.",""
18,"Чайник заварочный стеклянный 800 мл",1250,,false,"/img/other1.jpg","Прозрачный стеклянный заварочный чайник объёмом 800 мл позволяет контролировать процесс заварки и наслаждаться ароматом.",""
19,"Набор чашек 2 шт, керамика",750,,false,"/img/other2.jpg","Набор из двух керамических чашек для чая и кофе — идеальное решение для уютных встреч и приятного отдыха.",""
20,"Контейнер для хранения кофе, 1 л",620,,false,"/img/other3.jpg","Герметичный контейнер объёмом 1 л сохранит свежесть и насыщенный аромат кофе на длительное время.",""
21,"Чайный ситечко-неваляшка",280,,false,"/img/other3.jpg","Практичное ситечко для заваривания чая в форме неваляшки, не переворачивается и удобно в использовании.",""
